CAS,chemical_name,susdat_name,susdat_id,DTX,,
87674-68-8,dimethenamid,,NS00000237,,,
205939-58-8,dimethenamid-esa,"	Dimethenamide ESA",NS00000242,,,
60-51-5,dimethoate,,NS00000384,,,
163515-14-8,dimethenamid-p,,NS00066821,,,
110488-70-5,dimethomorph,,NS00108009,,,
756-80-9,dimethyldithiophosphate,"	O,O-Dimethyldithiophosphate",NS00001716,,,
149961-52-4,dimoxystrobin,,NS00008293,,,
29091-05-2,dinitramine,,NS00009760,,,
83657-24-3,diniconazole,,NS00010212,,,
39300-45-3,dinocap(+isomers),Dinocap,NS00073911,,,
88-85-7,dinoseb,,NS00000239,,,
165252-70-0,dinotefuran,,NS00000524,,,
78-34-2,dioxathion,,NS00003530,,,
1420-07-1,dinoterb,,NS00009297,,,
82-66-6,diphacinone,,NS00007899,,,
957-51-7,diphenamid,,NS00008365,,,
122-39-4,diphenylamine,,NS00010366,,,
2764-72-9,diquat,,NS00008841,,,
298-04-4,disulfoton,,NS00002187,,,
218208,disulfoton sulfone,,NS00003539,,,
3347-22-6,dithianon,,NS00008842,,,
5131-24-8,ditalimfos,,NS00002659,,,
330-54-1,diuron,,NS00000265,,,
197143,dodecylguanidine acetate,,NS00098531,,,
1593-77-7,dodemorph,,NS00010382,,,
2439-10-3,dodine,Dodecylguanidine acetate,NS00098531,,,
17109-49-8,edifenphos,,NS00001472,,,
121124-29-6,emamectin b1a,,NS00000128,,,
115-29-7,endosulfan,Endosulfan ,NS00098547,,,
959-98-8,endosulfan i,Endosulfan I,NS00008052,,,
33213-65-9,endosulfan ii,Endosulfan II,NS00114173,,,
1031-07-8,endosulfan sulfate,,NS00009999,,,
145-73-3,endothal,,NS00015678,,,
72-20-8,endrin,,NS00066941,,,
7421-93-4,endrin aldehyde,,NS00073878,,,
53494-70-5,endrin ketone,,NS00073879,,,
2104-64-5,epn,EPN,NS00002189,,,
133855-98-8,epoxiconazole,,NS00009136,,,
759-94-4,eptc,"	EPTC",NS00005221,,,
133855-98-8,epoxyconazole,Epoxiconazole,NS00009136,,,
66230-04-4,esfenvalerate,,NS00004711,,,
55283-68-6,ethalfluraline,"	Ethalfluralin",NS00015679,,,
29973-13-5,ethiofencarb,,NS00000130,,,
30043-49-3,ethidimuron,,NS00007743,,,
53380-23-7,ethiofencarb-sulfone,Ethiofencarb sulfone,NS00000131,,,
563-12-2,ethion,,NS00010882,,,
80844-07-1,ethofenprox,Etofenprox,NS00002113,,,
23947-60-6,ethirimol,,NS00009659,,,
26225-79-6,ethofumesate,,NS00010438,,,
13194-48-4,ethoprophos,Ethoprop,NS00000685,,,
91-53-2,ethoxyquine,Ethoxyquin,NS00009586,,,
72-56-0,ethyl-ddd,"p,p'-Ethyl-DDD",NS00003473,,,
153233-91-1,etoxazole,,NS00000133,,,
80844-07-1,etofenprox,,NS00002113,,,
2593-15-9,etridiazole,,NS00007073,,,
38260-54-7,etrimfos,,NS00002608,,,
131807-57-3,famoxadone,,NS00000488,,,
