LitDatabase,,CAS,Individual_ID,reported_concentration,,type_of_numeric_quantity,range_min/range_max,,Sample matrix,tissue,remark_MATRIX,Sample preparation,analytical_method,storage_temp_c/Packing material of samples,lod/loq,Species,Suggested Name ,latin_name,kingdom,class_phyl,Order,life_stage,sex,x_of_subsamples,x_of_replicates,start_of_sampling_day/start_of_sampling_month/start_of_sampling_year,Biota weight,Biota size/Biota length/Biota weight,,health_status,,,,,,trophic_level_as_described_in_paper/diet_as_described_in_paper,δ13C vs. VPDB ,d15N vs. Air N2,remark_Matrix of isotope parameters measured,,,Cause of death,name_of_country,region_city,latitude_1/longitude_1,habitat_type,,,,temperature,remark_2_Local soil/sediment/vegetation/mice concentration of metal element,Sample matrix,concentration_units,SD,reported_distance_to_industry,title/first_author/year/doi,,
,La,7439-91-0,NS00075675,31.43333333,6.209848808,average,"24-39,2",ug/g,Biota-Terrestrial,ancient fossils,N/A,"nitric acid, 2mL hydrogen fluoride Acid, 4mL perchloric acid, dissolved according to the working parameters of the microwave digestion ","inductively coupled plasma atomic emission spectrometer (Leaman, USA) Leeman Company)",N/A,0.0083,potentially an owl species?,Owls,Strigiformes,Animalia,Aves,Strigiformes,N/A,N/A,3,1,ancient fossils,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,Shenyang?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Qi et al. 2017, Spectr and Spectral Analysis",,
,Sm,7440-19-9,NS00082234,510.9666667,152.4415152,average,"344,8-713",ug/g,Biota-Terrestrial,ancient fossils,N/A,"nitric acid, 2mL hydrogen fluoride Acid, 4mL perchloric acid, dissolved according to the working parameters of the microwave digestion ","inductively coupled plasma atomic emission spectrometer (Leaman, USA) Leeman Company)",N/A,0.0476,potentially an owl species?,Owls,Strigiformes,Animalia,Aves,Strigiformes,N/A,N/A,3,1,ancient fossils,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,Shenyang?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Qi et al. 2017, Spectr and Spectral Analysis",,
,Pr,7440-10-0,NS00082259,392.7666667,311.4523434,average,"3,6-766",ug/g,Biota-Terrestrial,ancient fossils,N/A,"nitric acid, 2mL hydrogen fluoride Acid, 4mL perchloric acid, dissolved according to the working parameters of the microwave digestion ","inductively coupled plasma atomic emission spectrometer (Leaman, USA) Leeman Company)",N/A,0.0285,potentially an owl species?,Owls,Strigiformes,Animalia,Aves,Strigiformes,N/A,N/A,3,1,ancient fossils,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,Shenyang?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Qi et al. 2017, Spectr and Spectral Analysis",,
,Al,7429-90-5,NS00076268,124,713,mean,<LOQ-5560,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,384,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Sb,7440-36-0,NS00099725,1,4,mean,<LOQ-25,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,38,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,As,7440-38-2,NS00099582,100,328,mean,0.4-214,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,8,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Ba,7440-39-3,NS00099726,78,305,mean,<LOQ-269,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,1016,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Be,7440-41-7,NS00100166,3,1,mean,<LOQ-8,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,13,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Bi,7440-69-9,NS00076281,3,1,mean,<LOQ-6,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,8,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Cd,7440-43-9,NS00099585,4,3,mean,<LOQ-20,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,15,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,0.38,"mean in soils from the Segura River valley (Heavy metal content of agricultural soils in a Mediterranean semiarid area: the Segura River Valley (Alicante, Spain) C. Micó Spanish Journal of Agricultural Research (2006) 4(4), 363-372)\",mg/kg,0.2,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Ce,7440-45-1,NS00082274,1,5,mean,<LOQ-39,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,35,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Cr,7440-47-3,NS00099583,12,42,mean,<LOQ-237,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,229,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,28.3,"mean in soils from the Segura River valley (Heavy metal content of agricultural soils in a Mediterranean semiarid area: the Segura River Valley (Alicante, Spain) C. Micó Spanish Journal of Agricultural Research (2006) 4(4), 363-372)\",mg/kg,5.4,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Co,7440-48-4,NS00099570,91,66,mean,2.2-356,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,11,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,7.9,"mean in soils from the Segura River valley (Heavy metal content of agricultural soils in a Mediterranean semiarid area: the Segura River Valley (Alicante, Spain) C. Micó Spanish Journal of Agricultural Research (2006) 4(4), 363-372)\",mg/kg,1.2,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Cu,7440-50-8,NS00099581,225,48,mean,154-460,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,1724,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,21.6,"mean in soils from the Segura River valley (Heavy metal content of agricultural soils in a Mediterranean semiarid area: the Segura River Valley (Alicante, Spain) C. Micó Spanish Journal of Agricultural Research (2006) 4(4), 363-372)\",mg/kg,3.1,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Dy,7429-91-6,NS00082475,5,2,mean,<LOQ-2,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,1,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Er,7440-52-0,NS00082275,3,2,mean,<LOQ-1,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,1,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Eu,7440-53-1,NS00082236,3,2,mean,<LOQ-2,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,3,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Gd,7440-54-2,NS00099727,7,3,mean,<LOQ-2,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,2,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Ga,7440-55-3,NS00076440,1,1,mean,<LOQ-8,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,9,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Au,7440-57-5,NS00076285,2,6,mean,<LOQ-46,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,7,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Ho,7440-60-0,NS00081853,3,2,mean,<LOQ-2,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,2,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
