sus_id,DTXSID,usepa_formula,usepa_wikipedia,usepa_wikipedia_url,usepa_Log_Kow_experimental,usepa_Log_Kow_predicted,usepa_solubility_experimental,usepa_solubility_predicted,usepa_Koc_min_experimental,usepa_Koc_max_experimental,usepa_Koc_min_predicted,usepa_Koc_max_predicted,usepa_Life_experimental,usepa_Life_predicted,usepa_BCF_experimental,usepa_BCF_predicted
66163,DTXSID80240826,,,,,,,,,,2079.63,2079.63,,5.15272,,8.04797
66164,DTXSID20912373,,,,,,,,,,81.7176,81.7176,,4.13758,,4.23508
66165,DTXSID90915210,,,,,,,,,,100580,100580,,12.4903,,13.6705
66167,DTXSID10915176,,,,,,,,,,2463.52,2463.52,,28.1858,,148.929
66168,DTXSID00905667,,,,,,,,,,2158.96,2158.96,,39.0957,,9.52894
66169,DTXSID70913739,,,,,,,,,,13460.2,13460.2,,5.90621,,779.321
66171,DTXSID801006116,,,,,,,,,,708.611,708.611,,5.19709,,28.1694
66172,DTXSID701007066,,,,,,,,,,14.854,14.854,,3.54071,,2.99639
66173,DTXSID501007103,,,,,,,,,,594.97,594.97,,3.35339,,12.6533
66174,DTXSID001007108,,,,,,,,,,119.247,119.247,,4.462,,6.75382
66175,DTXSID801007138,,,,,,,,,,422.545,422.545,,4.44581,,9.23597
66176,DTXSID801007176,,,,,,,,,,7287.27,7287.27,,3.35604,,4.08974
66177,DTXSID20235953,,,,,,,,,,131.275,131.275,,6.83315,,0.750182
66178,DTXSID40236149,,,,,,,,,,42.9065,42.9065,,3.52643,,4.46216
66179,DTXSID80236108,,,,,,,,,,2460.79,2460.79,,3.54401,,9.28912
66180,DTXSID60916214,,,,,,,,,,102211,102211,,13.2146,,10.1044
66183,DTXSID70240916,,,,,,,,,,26.8151,26.8151,,3.53642,,1.19371
66185,DTXSID30240831,,,,,,,,,,540.81,540.81,,3.68005,,19.5228
66186,DTXSID50240833,,,,,,,,,,488.452,488.452,,10.9783,,21.4596
66188,DTXSID50915357,,,,,,,,,,11783.9,11783.9,,143.436,,78.0199
66189,DTXSID90915356,,,,,,,,,,1421.44,1421.44,,57.2106,,526.773
66191,DTXSID90143011,,,,,,,,,,606.619,606.619,,4.13701,,4.84778
66192,DTXSID10143013,,,,,,,,,,20.6353,20.6353,,3.6787,,1.2122
66193,DTXSID10914760,,,,,,,,,,138.882,138.882,,9.23586,,2.3846
66198,DTXSID00236524,,,,,,,,,,20528.2,20528.2,,143.393,,51.3718
66200,DTXSID50236610,,,,,,,,,,4113.03,4113.03,,3.54985,,334.402
66204,DTXSID80916150,,,,,,,,,,375.111,375.111,,3.54821,,597.86
66207,DTXSID10916148,,,,,,,,,,210.969,210.969,,3.54514,,167.667
66208,DTXSID90916146,,,,,,,,,,991.468,991.468,,5.61427,,718.902
66209,DTXSID70916144,,,,,,,,,,6170.65,6170.65,,44.0961,,109.068
66211,DTXSID70888736,,,,,,,,,,145.118,145.118,,4.9922,,25.814
66212,DTXSID20916139,,,,,,,,,,2661.65,2661.65,,4.51496,,438.039
66213,DTXSID00916137,,,,,,,,,,362.653,362.653,,4.48317,,53.6207
66214,DTXSID30240851,,,,,,,,,,10052.1,10052.1,,8.43747,,26.6611
66215,DTXSID70916326,,,,,,,,,,221.492,221.492,,5.79942,,168.013
66216,DTXSID10916320,,,,,,,,,,217.255,217.255,,5.89886,,124.033
66217,DTXSID00916319,,,,,,,,,,122.593,122.593,,3.52363,,22.372
66218,DTXSID50240772,,,,,,,,,,117.368,117.368,,4.32709,,1.35511
66219,DTXSID40916313,,,,,,,,,,136.096,136.096,,9.87966,,52.1419
66220,DTXSID50916309,,,,,,,,,,112.741,112.741,,3.16667,,8.97239
66223,DTXSID80914479,,,,,,,,,,30714.1,30714.1,,15.4295,,43.1832
66224,DTXSID50243086,,,,,,,,,,125.625,125.625,,4.51909,,25.6585
66225,DTXSID40913781,,,,,,,,,,2310.6,2310.6,,27.0745,,36.3342
66226,DTXSID50913772,,,,,,,,,,3809.7,3809.7,,49.5289,,263.133
66227,DTXSID30905276,,,,,,,,,,45638.6,45638.6,,5.6657,,73.6156
66228,DTXSID60242348,,,,,,,,,,241.991,241.991,,5.15135,,1.17245
66229,DTXSID60914437,,,,,,,,,,2440.52,2440.52,,5.83806,,813.245
66230,DTXSID00914416,,,,,,,,,,61.5646,61.5646,,5.16608,,10.5924
66231,DTXSID40914415,,,,,,,,,,32.1479,32.1479,,4.28875,,2.395
66232,DTXSID501007834,,,,,,,,,,19864.4,19864.4,,80.8114,,52.3714
66233,DTXSID50920123,,,,,,,,,,5.20185,5.20185,,3.55635,,1.48095
66234,DTXSID901006064,,,,,,,,,,15.8486,15.8486,,4.62564,,2.665
66235,DTXSID601006065,,,,,,,,,,35.539,35.539,,4.2778,,2.39529
66236,DTXSID001006067,,,,,,,,,,97.3536,97.3536,,5.1802,,12.3651
66239,DTXSID10916123,,,,,,,,,,10148,10148,,33.4244,,82.1703
66240,DTXSID00916117,,,,,,,,,,219.875,219.875,,3.34591,,88.4177
66241,DTXSID40916116,,,,,,,,,,502.054,502.054,,5.74431,,416.127
66242,DTXSID40916111,,,,,,,,,,1471.76,1471.76,,3.348,,318.521
66244,DTXSID70916306,,,,,,,,,,13863.7,13863.7,,5.74444,,107.126
66248,DTXSID90916222,,,,,,,,,,442.164,442.164,,4.61914,,5.25305
66249,DTXSID60240900,,,,,,,,,,142778,142778,,4.76942,,54.6923
66250,DTXSID10242373,,,,,,,,,,105.661,105.661,,3.53937,,3.37825
66251,DTXSID80243094,,,,,,,,,,44.1806,44.1806,,4.62132,,2.58951
66252,DTXSID20913769,,,,,,,,,,32967.4,32967.4,,3.35997,,12.8876
66253,DTXSID10913753,,,,,,,,,,2046.85,2046.85,,3.01397,,111.679
66254,DTXSID40142872,,,,,,,,,,4517.07,4517.07,,6.04281,,359.081
66255,DTXSID80905281,,,,,,,,,,1164.36,1164.36,,3.54852,,149.39
66257,DTXSID20914776,,,,,,,,,,160.513,160.513,,3.35226,,9.23493
66258,DTXSID00914774,,,,,,,,,,493.906,493.906,,3.81497,,17.4866
66259,DTXSID70236834,,,,,,,,,,46704.6,46704.6,,13.0664,,5.59898
66260,DTXSID10236934,,,,,,,,,,520.478,520.478,,5.71721,,2.40149
66261,DTXSID70920084,,,,,,,,,,162.531,162.531,,3.51012,,23.59
66262,DTXSID501005945,,,,,,,,,,1484.04,1484.04,,4.55999,,51.6006
66263,DTXSID101006072,,,,,,,,,,36.2565,36.2565,,4.6237,,2.25143
66264,DTXSID801006073,,,,,,,,,,5908.63,5908.63,,4.93208,,27.0806
66265,DTXSID10234718,,,,,,,,,,3680.75,3680.75,,3.34734,,85.6428
66268,DTXSID90916085,,,,,,,,,,39.8083,39.8083,,5.69838,,3.77977
66271,DTXSID80916014,,,,,,,,,,29675.7,29675.7,,217.082,,50.7333
66272,DTXSID00916011,,,,,,,,,,3110.75,3110.75,,6.99076,,80.2443
66273,DTXSID40916010,,,,,,,,,,2525.24,2525.24,,5.24555,,191.982
66275,DTXSID00916218,,,,,,,,,,114.742,114.742,,4.73292,,10.0215
66276,DTXSID20916215,,,,,,,,,,173.926,173.926,,3.55211,,62.5218
66280,DTXSID20916210,,,,,,,,,,226.027,226.027,,3.35392,,9.21626
66281,DTXSID10243421,,,,,,,,,,1023.93,1023.93,,5.66512,,218.363
66282,DTXSID70243422,,,,,,,,,,1544.01,1544.01,,5.66754,,855.709
66283,DTXSID10915555,,,,,,,,,,6488.27,6488.27,,39.3866,,3896.37
66284,DTXSID30915552,,,,,,,,,,2678.43,2678.43,,3.10657,,194.78
66285,DTXSID40915528,,,,,,,,,,16640.5,16640.5,,45.1056,,186.169
66289,DTXSID201005984,,,,,,,,,,72499.9,72499.9,,54.0028,,177.095
66292,DTXSID40234680,,,,,,,,,,998.922,998.922,,12.8501,,7.20074
66293,DTXSID201005522,,,,,,,,,,416.834,416.834,,4.76787,,308.694
66297,DTXSID10916143,,,,,,,,,,712.422,712.422,,4.80858,,107.991
66298,DTXSID50916142,,,,,,,,,,2660.38,2660.38,,8.00669,,266.206
66299,DTXSID90916141,,,,,,,,,,1750.57,1750.57,,5.67211,,1130.08
66300,DTXSID40916136,,,,,,,,,,228.091,228.091,,3.70695,,126.883
66302,DTXSID40916131,,,,,,,,,,113.722,113.722,,4.29286,,4.39427
66303,DTXSID30916125,,,,,,,,,,55.7765,55.7765,,3.53447,,1.66617
66304,DTXSID60916118,,,,,,,,,,94.4359,94.4359,,4.44763,,8.65437
66312,DTXSID20916098,,,,,,,,,,100.78,100.78,,5.31342,,12.1962
66313,DTXSID40916095,,,,,,,,,,242864,242864,,8.69831,,9.84666
66315,DTXSID70915516,,,,,,,,,,90269.6,90269.6,,62.2415,,83.368
66316,DTXSID00912619,,,,,,,,,,97.5495,97.5495,,4.46774,,1.83909
66317,DTXSID60913980,,,,,,,,,,30032.5,30032.5,,133.721,,48.4102
66320,DTXSID00242882,,,,,,,,,,3613.38,3613.38,,4.20426,,32.7423
66323,DTXSID30234290,,,,,,,,,,535.191,535.191,,4.96619,,2.90696
66324,DTXSID801005582,,,,,,,,,,34.1948,34.1948,,4.66038,,3.79761
66326,DTXSID50916021,,,,,,,,,,155.139,155.139,,5.28016,,81.7892
66327,DTXSID20916018,,,,,,,,,,3889.78,3889.78,,4.76402,,127.874
66328,DTXSID40916015,,,,,,,,,,29719.2,29719.2,,218.579,,51.0437
