sus_id,categories
265,pesticide:fungicide
265,pesticide:ground_water_contaminant
265,pesticide:herbicide
265,pesticide:pesticide_conventional
265,pesticide:preservatives
265,pesticide_ACToRUseDB
265,preservatives
265,process_regulator
265,surface_treatment
9881,cleaning_washing
9881,cleaning_washing:consumer_use
9881,consumer_use_ACToRUseDB
9881,drinking_water_contaminant:pesticide:detected
9881,drug
9881,drug_ACToRUseDB
9881,fluid_property_modulator
9881,food_contact
9881,food_residue
9881,industrial_manufacturing_ACToRUseDB
9881,manufacturing:chemical
9881,manufacturing:raw_material
9881,pesticide
9881,pesticide:active_ingredient
9881,pesticide:food_additive
9881,pesticide:inert_ingredient
9881,pesticide_ACToRUseDB
9881,solvent
11632,drug
11632,drug_ACToRUseDB
33502,drug
33502,drug_ACToRUseDB
9428,adhesive
9428,building_construction:insulation
9428,building_material:filler
9428,building_material:insulation
9428,chemical_warfare
9428,chemical_warfare_ACToRUseDB
9428,construction
9428,consumer_use
9428,filler
9428,flame_retardant
9428,industrial_manufacturing_ACToRUseDB
9428,manufacturing:plastics
9428,manufacturing:rubber
9428,plastics
2929,adhesive
2929,fluid_property_modulator
2929,food_contact
2929,industrial_manufacturing_ACToRUseDB
2929,manufacturing:adhesive
2929,manufacturing:automotive
2929,manufacturing:chemical
2929,manufacturing:metals
2929,manufacturing:paint
2929,manufacturing:plastics
2929,manufacturing:raw_material
2929,manufacturing:rubber
2929,paint
2929,paint:volatile_organic
2929,petrochemical_ACToRUseDB
10496,drinking_water_contaminant:pesticide:detected
10496,drug
10496,drug:colorant
10496,drug:uncoupling
10496,drug_ACToRUseDB
10496,personal_care:cosmetics:prohibited_ASEAN
10496,pesticide
10496,pesticide:biocide:active_ingredient
10496,pesticide:inert_ingredient
10496,pesticide_ACToRUseDB
9261,appliance:heating:lawn_garden
9261,consumer_use:detected
9261,explosives
9261,heating:fire:lawn_garden
9261,industrial_manufacturing_ACToRUseDB
9261,manufacturing:chemical
9261,personal_care:cosmetics:prohibited_ASEAN
9261,sports_equipment
33603,personal_care:cosmetics:fragrance
8517,drinking_water_contaminant:drug:detected
8517,drug
8517,drug:anticholesteremic
8517,drug:antimenopausal
8517,drug:discontinued
8517,drug:estrogen
8517,drug:orphan
8517,drug:sexual_hormone
8517,drug_ACToRUseDB
8517,food
8517,human_metabolite
8517,industrial_manufacturing_ACToRUseDB
8517,manufacturing:chemical
8517,manufacturing:drug
8517,personal_care:cosmetics
8517,personal_care_ACToRUseDB
11937,absorbent
11937,adsorbent
11937,child_use
11937,cleaning_washing
11937,cleaning_washing:textile:detergent
11937,consumer_use:detected
11937,consumer_use_ACToRUseDB
11937,drug
11937,drug:detected
11937,food_additive
11937,food_additive:flavor
11937,food_contact
11937,fragrance
11937,fragrance:consumer_use
11937,fragrance_ACToRUseDB
11937,industrial:cleaning_washing
11937,industrial_manufacturing_ACToRUseDB
11937,manufacturing:chemical
11937,manufacturing:drug
11937,manufacturing:machines
11937,manufacturing:raw_material
11937,paint
11937,personal_care
11937,personal_care:cosmetics:perfume
11937,personal_care:sexual_wellness:gel:detected
11937,personal_care_ACToRUseDB
11937,pesticide
11937,pesticide:active_ingredient
11937,pesticide:biochemical
11937,pesticide:biocide
11937,pesticide_ACToRUseDB
21198,drug
21198,drug:antitubercular
21198,drug:fatty_acid:synthesis_inhibitor
21198,drug:leprostatic
21198,drug_ACToRUseDB
21198,personal_care:cosmetics:prohibited_ASEAN
22403,drug
22403,industrial_manufacturing_ACToRUseDB
22403,manufacturing:chemical
22403,manufacturing:drug
5032,adhesive
5032,agricultural
5032,agricultural:animal
5032,agricultural:animal:cattle:dairy
5032,agricultural:crop
5032,antifreezing
5032,antimicrobial_ACToRUseDB
5032,apparel_care
5032,automotive_care
5032,beverage:food_service
5032,binding
5032,binding:paint
5032,building_construction
5032,building_construction:boats
5032,building_construction:brick
5032,building_construction:insulation
5032,building_material
5032,building_material:filler
5032,building_material:flooring
5032,building_material:insulation
5032,building_material:plastics
5032,building_material:walls
5032,chemical:laboratory
5032,cleaning_washing
5032,cleaning_washing:carpet
5032,cleaning_washing:carpet:consumer_use
5032,cleaning_washing:detergent
5032,cleaning_washing:disinfectant
5032,cleaning_washing:drycleaning
5032,cleaning_washing:enclosed
5032,cleaning_washing:flooring
5032,cleaning_washing:flooring:consumer_use
5032,cleaning_washing:fur
5032,cleaning_washing:glass
5032,cleaning_washing:laundry:consumer_use
5032,cleaning_washing:machines:dishwashing
5032,cleaning_washing:machines:laundry
5032,cleaning_washing:stain_remover
5032,cleaning_washing:textile
5032,cleaning_washing:textile:detergent
5032,cleaning_washing:toilets
5032,cleaning_washing:window
5032,colorant
5032,construction
5032,consumer_use:detected
5032,cooling_agent
5032,detergent
5032,disinfectant
5032,drinking_water:food_contact:plastics
5032,drug
5032,drug_ACToRUseDB
5032,electrical:insulation
5032,facility:apparel_care
5032,facility:beverage:food_service
5032,facility:childcare
5032,facility:drycleaning:laundry
5032,facility:electronics:computer
5032,facility:food_production
5032,facility:food_service
5032,facility:fuel:automotive
5032,facility:laundry
5032,facility:laundry:drycleaning
5032,facility:manufacturing:food:dairy
5032,filler
5032,fishing
5032,fluid_property_modulator
5032,food
5032,food_additive
5032,food_contact
5032,food_contact:plastics
5032,food_residue
5032,food_service
5032,forestry
5032,fragrance
5032,fragrance:consumer_use
5032,fuel
5032,hunting
5032,impregnation
5032,impregnation:leather
5032,impregnation:paper
5032,impregnation:textile
5032,impregnation:wood
5032,industrial
5032,industrial:cleaning_washing
5032,industrial:cleaning_washing:laundry
5032,industrial_fluid
5032,industrial_manufacturing_ACToRUseDB
5032,ink_remover
5032,lubricant
5032,manufacturing
5032,manufacturing:agrochemical
5032,manufacturing:apparel
5032,manufacturing:automotive
5032,manufacturing:beverage
